,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chuy,-33.6971,-53.4616,18.56,91,86,2.26,UY,1615870517
1,jamestown,42.097,-79.2353,1.67,34,40,3.51,US,1615870518
2,bambous virieux,-20.2567,57.4061,28.89,74,75,5.66,MU,1615870519
3,butaritari,3.0707,172.7902,27.29,79,95,5.99,KI,1615870441
4,bluff,-46.6,168.3333,12.78,67,92,6.71,NZ,1615870520
5,fortuna,40.5982,-124.1573,7.22,87,75,5.66,US,1615870521
6,ambovombe,-25.1667,46.0833,25.27,72,18,2.26,MG,1615870521
7,hasaki,35.7333,140.8333,21.11,40,75,7.72,JP,1615870473
8,antsohihy,-14.8796,47.9875,26.34,88,66,0.73,MG,1615870522
9,provideniya,64.3833,-173.3,-12,72,75,2,RU,1615870437
10,airai,-8.9266,125.4092,20.78,82,100,0.64,TL,1615870524
11,albany,42.6001,-73.9662,-6.11,33,3,1.16,US,1615870524
12,chokurdakh,70.6333,147.9167,-25.81,93,100,6.05,RU,1615870525
13,busselton,-33.65,115.3333,26.11,33,93,1.34,AU,1615870526
14,ilanskiy,56.2358,96.065,-8.1,83,100,5.97,RU,1615870526
15,tezu,27.9167,96.1667,31.94,26,11,2.15,IN,1615870527
16,kapaa,22.0752,-159.319,21,94,75,10.8,US,1615870528
17,cidreira,-30.1811,-50.2056,23.11,83,53,6.05,BR,1615870529
18,dwarka,22.2394,68.9678,28.08,57,0,6.54,IN,1615870530
19,najran,17.4924,44.1277,16,31,0,1.02,SA,1615870530
20,voyvozh,62.892,54.9635,-0.67,95,100,4.4,RU,1615870531
21,luderitz,-26.6481,15.1594,16.1,80,0,8.8,NA,1615870532
22,carnarvon,-24.8667,113.6333,32,58,0,5.66,AU,1615870532
23,ribeira grande,42.7461,-8.4439,10,81,0,2.06,ES,1615870533
24,yellowknife,62.456,-114.3525,-22.78,77,20,2.57,CA,1615870534
25,tumannyy,-7.0349,29.7638,22.5,77,80,1.71,CD,1615870535
26,port macquarie,69.3833,178.4167,-21.27,72,40,2.28,RU,1615870536
27,leningradskiy,42.7762,-9.0603,10,74,14,5.81,ES,1615870536
28,muros,-21.2,-175.2,24,88,75,1.03,TO,1615870538
29,general roca,42.0304,-8.1588,6.67,87,45,0.89,PT,1615870538
30,vaini,63.7898,74.523,-7.44,93,97,4.67,RU,1615870539
31,vila franca do campo,-23.1203,-134.9692,26.91,78,72,7.59,PF,1615870540
32,muravlenko,-4.05,19.5333,21.04,98,100,1.18,CD,1615870540
33,rikitea,17.0151,54.0924,24,38,0,0.51,OM,1615870541
34,mangai,-7.3817,108.2082,31.65,55,69,1.43,ID,1615870542
35,salalah,-13.7,-76.2167,21.11,78,0,3.6,PE,1615870484
36,kawalu,-2.5744,150.7967,29.66,64,58,2.45,PG,1615870543
37,pisco,-34.4187,19.2345,16.11,80,2,1.79,ZA,1615870544
38,kavieng,-3.8004,102.2655,27.82,83,99,3.86,ID,1615870544
39,hermanus,43.5624,7.1278,8,76,0,2.57,FR,1615870546
40,bengkulu,-46.1927,168.8643,12.78,67,71,6.71,NZ,1615870386
41,tsihombe,-34.5322,20.0403,14,94,35,2.06,ZA,1615870547
42,antibes,-30.2667,152.0167,16.42,64,100,2.77,AU,1615870549
43,mataura,8.9897,125.34,30.26,64,2,2.46,PH,1615870549
44,paradwip,60.1432,-45.2371,-3.36,91,100,2.43,GL,1615870550
45,bredasdorp,31.61,34.7642,12.78,76,40,1.54,IL,1615870551
46,dzhusaly,20.5113,76.2129,32.32,14,0,3.15,IN,1615870551
47,aberfoyle,-14.9003,50.2788,27.49,74,45,1.97,MG,1615870552
48,punta arenas,28.3667,129.4833,25,57,75,6.69,JP,1615870553
49,nanortalik,56.1481,113.4267,-14.18,62,100,1.11,RU,1615870554
50,gat,71.2906,-156.7887,-19,71,1,5.66,US,1615870554
51,sao filipe,65,-15,1,100,90,3.09,IS,1615870555
52,antalaha,-54.8,-68.3,2,80,90,9.26,AR,1615870504
53,naze,-21.0096,55.2707,29.44,65,75,5.66,RE,1615870556
54,severomuysk,5.9485,80.5353,31.7,49,2,2.03,LK,1615870557
55,barrow,25.9873,-80.2323,24,73,1,4.12,US,1615870558
56,east london,69.7008,170.3133,-20.15,78,59,3.27,RU,1615870559
57,ushuaia,-31.9333,115.8333,33.33,17,0,3.6,AU,1615870545
58,saint-paul,1.6481,14.5806,20.51,98,100,1.03,CG,1615870560
59,bolungarvik,14.5333,20.9167,25.61,9,61,4.6,TD,1615870561
60,matara,26.7292,33.9365,19,39,0,3.09,EG,1615870562
61,miramar,69.3,139.9,-25.68,85,100,2.92,RU,1615870563
62,pevek,-1.7167,-79.8333,25,94,90,1.03,EC,1615870564
63,perth,-37.6167,-73.65,11.87,90,99,1.99,CL,1615870565
64,sembe,-7.0349,29.7638,22.5,77,80,1.71,CD,1615870565
65,illoqqortoormiut,43.4002,-4.0094,10.56,87,90,1.03,ES,1615870566
66,biltine,47.6666,-52.7314,-3.33,93,90,5.66,CA,1615870567
67,safaga,-20.2333,164.0167,26.67,72,11,3.22,NC,1615870567
68,taolanaro,-42.8794,147.3294,21.11,45,20,5.66,AU,1615870561
69,deputatskiy,71.9667,102.5,-34.7,93,66,4.07,RU,1615870569
70,nueva concepcion,21.4022,-157.7394,21,88,90,5.53,US,1615870569
71,lebu,57.0531,-135.33,3,87,90,7.2,US,1615870570
72,port alfred,-9.8,-139.0333,26.89,75,47,6.31,PF,1615870571
73,mar del plata,62.0025,132.4325,-12.66,88,88,3.54,RU,1615870572
74,torbay,0.5412,123.0595,30.82,68,81,1.64,ID,1615870573
75,poum,-29.9533,-71.3436,17,82,75,1.54,CL,1615870254
76,hobart,-7.95,110.2833,30.37,62,82,2.96,ID,1615870574
77,khatanga,-21.2078,-159.775,28,74,9,3.6,CK,1615870575
78,kailua,69.4541,-133.0374,-21,84,75,4.63,CA,1615870575
79,sitka,38.8755,-109.5012,10,49,75,2.06,US,1615870576
80,atuona,58.8147,41.0461,-1.44,92,78,3.79,RU,1615870577
81,saleaula,69.4154,30.8136,-4,93,75,2.06,RU,1615870577
82,churapcha,71.9167,114.0833,-28.56,90,100,3.07,RU,1615870578
83,gorontalo,34.7992,-85.8066,16,100,90,4.22,US,1615870579
84,coquimbo,70.3705,31.1107,-5,74,40,6.17,NO,1615870580
85,bambanglipuro,-5.1989,-35.4608,25,83,40,1.03,BR,1615870580
86,avarua,38.482,-90.7415,8.33,97,1,1.75,US,1615870581
87,tuktoyaktuk,-24.7911,-50.0119,16.45,97,91,2.02,BR,1615870582
88,grand river south east,63.4427,-20.2734,6.64,68,64,10.87,IS,1615870582
89,vokhtoga,2.0371,45.3438,27,74,75,4.12,SO,1615870583
90,zapolyarnyy,-0.6,73.0833,28.13,69,99,1.89,MV,1615870584
91,saskylakh,-20.4081,57.7,28,74,75,5.66,MU,1615870508
92,yucca valley,14.3,-91.9167,19.44,94,0,3.13,GT,1615870586
93,vardo,-41.0667,145.9167,17.5,70,80,3.06,AU,1615870586
94,touros,15.1718,44.3244,15.17,23,37,1.97,YE,1615870587
95,pacific grove,54.7804,-127.1743,2,64,90,4.12,CA,1615870588
96,castro,-20.7377,116.8463,33.31,42,83,7.27,AU,1615870588
97,vestmannaeyjar,73.5069,80.5464,-32.94,97,54,1.62,RU,1615870589
98,mogadishu,22.4833,92.9667,33.43,15,0,1.73,IN,1615870590
99,hithadhoo,-33.8667,121.9,27,29,0,4.63,AU,1615870590
100,barentsburg,56.7446,15.9071,2.22,100,90,2.06,SE,1615870591
101,mahebourg,63.05,179.3167,-17.53,72,22,1.14,RU,1615870592
102,champerico,69.9689,23.2717,-6,93,90,0.51,NO,1615870593
103,burnie,-36.413,-71.9028,14,100,90,3.09,CL,1615870593
